@relation enhanced_fraud_detection

@attribute quantidade_denuncias numeric
@attribute tempo_entre_denuncias numeric
@attribute frequencia_denuncias numeric
@attribute quantidade_recebimentos numeric
@attribute valor_total_recebido numeric
@attribute tempo_desde_criacao numeric
@attribute horario_predominante numeric
@attribute variabilidade_horario numeric
@attribute quantidade_dispositivos numeric
@attribute dispositivos_suspeitos numeric
@attribute ips_diferentes numeric
@attribute cidades_diferentes numeric
@attribute transacoes_madrugada numeric
@attribute transacoes_fins_semana numeric
@attribute valor_medio_transacao numeric
@attribute desvio_padrao_valores numeric
@attribute frequencia_semanal numeric
@attribute percentual_cancelamentos numeric
@attribute tentativas_falhas numeric
@attribute tempo_medio_entre_transacoes numeric
@attribute score_historico_cliente numeric
@attribute idade_conta_dias numeric
@attribute saldo_medio_conta numeric
@attribute limite_credito numeric
@attribute score_bureau_credito numeric
@attribute renda_declarada numeric
@attribute nivel_educacao {FUNDAMENTAL,MEDIO,SUPERIOR,POS_GRADUACAO}
@attribute profissao {AUTONOMO,FUNCIONARIO_PUBLICO,EMPRESARIO,APOSENTADO,ESTUDANTE,DESEMPREGADO}
@attribute estado_civil {SOLTEIRO,CASADO,DIVORCIADO,VIUVO}
@attribute tem_dependentes {true,false}
@attribute possui_cartao_credito {true,false}
@attribute possui_conta_poupanca {true,false}
@attribute historico_inadimplencia {true,false}
@attribute contaSuspeita {true,false}

@data
% Casos de Alto Risco (Score 0-30)
15,5,2.5,300,500000,15,3,8,5,3,8,4,25,18,1666.67,850.5,45,0.15,8,2.3,25,15,75000,50000,350,80000,MEDIO,AUTONOMO,SOLTEIRO,false,true,false,true,true
20,3,4.2,450,750000,10,2,9,7,5,12,6,35,25,1666.67,950.2,60,0.22,12,1.8,18,10,120000,75000,280,120000,FUNDAMENTAL,DESEMPREGADO,DIVORCIADO,true,false,false,true,true
12,8,1.8,200,350000,25,4,7,4,2,6,3,15,12,1750.00,720.8,38,0.18,6,3.1,22,25,85000,40000,320,95000,MEDIO,FUNCIONARIO_PUBLICO,CASADO,true,true,false,false,true
18,4,3.6,380,680000,12,1,10,6,4,10,5,30,20,1789.47,880.6,55,0.25,10,2.0,20,12,95000,60000,300,110000,SUPERIOR,EMPRESARIO,SOLTEIRO,false,true,true,true,true
25,2,6.0,500,900000,8,23,12,8,6,15,7,40,30,1800.00,1050.3,70,0.30,15,1.5,15,8,150000,100000,250,150000,POS_GRADUACAO,AUTONOMO,CASADO,true,true,true,true,true

% Casos de Médio Risco (Score 31-70)
8,15,0.8,150,180000,45,14,4,3,1,4,2,8,5,1200.00,420.5,25,0.08,3,4.2,45,45,65000,35000,450,75000,MEDIO,FUNCIONARIO_PUBLICO,CASADO,true,true,true,false,false
6,25,0.4,120,120000,60,16,3,2,0,3,1,5,3,1000.00,350.8,20,0.05,2,5.1,55,60,55000,30000,480,65000,SUPERIOR,FUNCIONARIO_PUBLICO,SOLTEIRO,false,true,true,false,false
